Model,AUPRC (Primary),ROC-AUC,Min Cost/Tx,Optimal Threshold,Precision@0.5,Recall@0.5,F1@0.5
lgb,0.4978188810830145,0.8387935613754334,$4.78,0.01,0.6963,0.4061,0.513
xgb,0.4577352729208242,0.8247030295124556,$4.39,0.01,0.4867,0.4525,0.469
mlp_prob,0.28959003291058105,0.8297442101955074,$2.19,0.01,0.2045,0.5952,0.3045
iso,0.09710879914296676,0.7716163692861363,$2.22,0.01,0.0,0.0,0.0
ae_semi_supervised,0.06594767538478458,0.7201961662220892,$17.37,0.01,0.08,0.0019,0.0038
ae_supervised,0.0611343125005988,0.7078405633038122,$17.37,0.01,0.08,0.0019,0.0038
lof,0.04249450780412553,0.5671630527240805,$17.37,0.28,0.0508,0.001,0.0019
